epoch,loss,f1,precision,recall,seconds,hyper_parameters,total
10,58.47254802726093,0.7236434045375378,0.7367360644728005,0.7457511896668932,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 2e-09}"
1,1354.7694709300995,0.5480960175824843,0.5693341478313989,0.6335825968728755,329,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
2,1191.9129276573658,0.6213170055117122,0.7352320675105485,0.4738273283480625,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
3,784.6846598386765,0.697856809210609,0.7414187643020596,0.6607749830047587,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
4,453.9020771291107,0.7069622890915218,0.7278393351800554,0.7144799456152278,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
5,222.65860716928728,0.6897822729060745,0.7172364672364673,0.6845683208701564,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
6,137.06953005702235,0.713926770862306,0.7465404224326293,0.6968048946295038,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
7,104.73332752555143,0.6936789120435648,0.7169811320754716,0.6974847042828008,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
8,82.62386421021074,0.6881731158995654,0.6901057871810827,0.7539089055064582,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
9,61.90998661669437,0.6851021538230095,0.7390263367916999,0.6295037389530931,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
10,50.763619488381664,0.6951881065016917,0.7227369921596579,0.6893269884432359,331,"{'batch_size': 6, 'lr': 1e-05, 'eps': 3.0000000000000004e-09}"
1,1376.9767186641693,0.2998858449672455,0.14285714285714285,0.0006798096532970768,329,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
2,1380.3152571320534,0.36773087599455234,0.5304724125495853,1.0,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
3,1379.5858561992645,0.3723923105028054,0.5314533622559653,0.9993201903467029,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
4,1379.290165245533,0.36773087599455234,0.5304724125495853,1.0,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
5,1380.0979572534561,0.36773087599455234,0.5304724125495853,1.0,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
6,1378.8094500899315,0.36773087599455234,0.5304724125495853,1.0,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
7,1378.198073387146,0.3816575770551158,0.5317982456140351,0.9891230455472467,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
8,1379.710607290268,0.36773087599455234,0.5304724125495853,1.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
9,1378.2241348028183,0.36773087599455234,0.5304724125495853,1.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
10,1377.8157861828804,0.36773087599455234,0.5304724125495853,1.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 5e-10}"
1,1379.3925961256027,0.30003676999285395,0.0,0.0,329,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
2,1379.4593004584312,0.2998858449672455,0.14285714285714285,0.0006798096532970768,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
3,1375.2811923623085,0.36773087599455234,0.5304724125495853,1.0,331,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
4,1380.3189150691032,0.30003676999285395,0.0,0.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
5,1378.4552000164986,0.30003676999285395,0.0,0.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
6,1378.7389108538628,0.36773087599455234,0.5304724125495853,1.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
7,1378.1175669431686,0.36773087599455234,0.5304724125495853,1.0,334,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
8,1378.1395404338837,0.36773087599455234,0.5304724125495853,1.0,339,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
9,1378.7910659909248,0.36773087599455234,0.5304724125495853,1.0,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
10,1379.2269399166107,0.36773087599455234,0.5304724125495853,1.0,328,"{'batch_size': 6, 'lr': 2e-05, 'eps': 1e-09}"
1,1306.2515387535095,0.5814511379289284,0.5968523002421308,0.6702923181509177,324,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
2,1123.8938028365374,0.5877130766834702,0.5958835341365462,0.8069340584636302,335,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
3,922.7139589712024,0.6332317185529339,0.6844660194174758,0.5751189666893269,339,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
4,651.4751637205482,0.6368659932383871,0.6415770609318996,0.7301155676410604,339,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
5,435.1982432026416,0.6482493245877619,0.6851159311892296,0.6227056424201224,339,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
6,309.8349302606657,0.6224045345179406,0.6505338078291815,0.6213460231135283,330,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
7,187.32079372461885,0.6306602041874055,0.6777777777777778,0.5805574439157036,336,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
8,135.07407518854598,0.6406041693083306,0.6559633027522935,0.6804894629503739,337,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
9,115.15076632867567,0.6277472414257884,0.6748807631160573,0.5771583956492182,338,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
10,100.12120477861026,0.6371925954111473,0.6676300578034682,0.628144119646499,344,"{'batch_size': 6, 'lr': 2e-05, 'eps': 2e-09}"
1,1377.637856721878,0.36773087599455234,0.5304724125495853,1.0,343,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
2,1377.8995982408524,0.3723923105028054,0.5314533622559653,0.9993201903467029,345,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
3,1376.3255795836449,0.36773087599455234,0.5304724125495853,1.0,345,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
4,1379.4276603460312,0.36773087599455234,0.5304724125495853,1.0,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
5,1371.8858072161674,0.5993208180199278,0.6268551236749117,0.6029911624745071,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
6,1368.4137682318687,0.36804615493446613,0.530155290718671,0.9979605710401088,339,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
7,1379.185118496418,0.36804615493446613,0.530155290718671,0.9979605710401088,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
8,1379.027241051197,0.36773087599455234,0.5304724125495853,1.0,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
9,1377.6026710271835,0.3022587584617539,0.75,0.0020394289598912306,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
10,1377.870683312416,0.3022587584617539,0.75,0.0020394289598912306,340,"{'batch_size': 6, 'lr': 2e-05, 'eps': 3.0000000000000004e-09}"
1,1381.5110045671463,0.36773087599455234,0.5304724125495853,1.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
2,1381.0024634599686,0.36773087599455234,0.5304724125495853,1.0,340,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
3,1380.2524710297585,0.36773087599455234,0.5304724125495853,1.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
4,1379.2201898694038,0.30003676999285395,0.0,0.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
5,1378.5552328824997,0.36773087599455234,0.5304724125495853,1.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
6,1378.5819860696793,0.36773087599455234,0.5304724125495853,1.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
7,1378.6688349843025,0.30003676999285395,0.0,0.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
8,1378.575797855854,0.36773087599455234,0.5304724125495853,1.0,336,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
9,1378.1063278913498,0.36773087599455234,0.5304724125495853,1.0,326,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
10,1377.58106893301,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 5e-10}"
1,1383.6343332529068,0.30003676999285395,0.0,0.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
2,1381.3825344145298,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
3,1381.461426615715,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
4,1380.126115679741,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
5,1380.0697302818298,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
6,1378.9880350232124,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
7,1379.4653478264809,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
8,1379.5829927325249,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
9,1378.9981974363327,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
10,1380.1534010767937,0.36773087599455234,0.5304724125495853,1.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 1e-09}"
1,1384.699544787407,0.30003676999285395,0.0,0.0,324,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
2,1381.6838166117668,0.30003676999285395,0.0,0.0,325,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
3,1380.2188372612,0.30003676999285395,0.0,0.0,325,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
