epoch,loss,f1,precision,recall,seconds,hyper_parameters
5,69.41751023568213,0.8420338783168676,0.8557312252964426,0.8239771646051379,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
5,44.602679831907146,0.8410358132962537,0.8269581056466302,0.8639391056137012,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
-2,-2.0,0.7651194986262463,0.7614503816793893,0.8137321549966009,103,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.15.csv'}"
-1,-1.0,0.3330850842866558,0.4172715810909127,0.4909351145038168,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,517.310203820467,0.7914594546977991,0.8021653543307087,0.7754519505233112,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,251.34331319481132,0.8324272924588901,0.852112676056338,0.8058991436726927,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,100.32024103961884,0.776069433042381,0.7631103074141049,0.8030447193149381,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,44.125651436392225,0.826205161775549,0.8722943722943723,0.7668886774500476,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,27.04434623103589,0.8201018509063503,0.8131970260223048,0.8325404376784015,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,16.77395867346786,0.8175271457658184,0.8430769230769231,0.7821122740247384,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
7,10.426645471830852,0.8454122468807722,0.8518877057115198,0.8372978116079924,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-2,-2.0,0.7645551312976394,0.7695852534562212,0.7946974847042828,103,"{'batch_size': '12', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.3.csv'}"
-1,-1.0,0.6677265500794912,0.501432664756447,0.9990485252140818,102,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.1.csv'}"
7,821.5230600982904,0.7823635879063909,0.7582322357019065,0.8325404376784015,102,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.1.csv'}"
7,423.18233040720224,0.8191632950644774,0.8268482490272373,0.8087535680304472,102,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.1.csv'}"
7,199.77888554893437,0.8463740458015268,0.8468125594671742,0.8468125594671742,102,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.1.csv'}"
7,99.52422890672459,0.8076285064674684,0.7956204379562044,0.8296860133206471,102,"{'batch_size': '8', 'lr': '1e-05', 'eps': '1e-08', 'dropout': '0.1.csv'}"
